Date                                    , Status                                  , ProjName                                , BoardDefShortName                       , BoardDefName                            , SynthName                               , ImplName                                , SynthInfo                               , SynthWarnings                           , SynthCritWarnings                       , SynthError                              , ImplInfo                                , ImplWarnings                            , ImplCritWarnings                        , ImplError                               , ImplDRCWarnings                         , ImplDRCError                            , ImplTimingWNS                           , ImplTimingFaildEndpoints                , ImplTimingTNS                           ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
2021-09-28T10:06:10                     , Error                                   , zynqberrydemo1                          , mi_512MB                                , trenz.biz:te0726_10_1i:part0:3.1        , synth_1                                 , impl_1                                  , 204                                     , 2                                       , 0                                       , 0                                       , 37                                      , 11                                      , 2                                       , 0                                       , 11                                      ,  0                                      , -4.100                                  , 545                                     , -335.046                                ,
